                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.069519,               0.036356,               0.018082,                      0,                0.61125,                0.23365,                0.45829,                0.15048,                0.50541,                0.17269,                0.31477,               0.089388,               0.052361,               0.020803,              0.0075517,                      0,               0.070032,              0.0033297,              0.0033297
                      1,               0.049248,               0.023896,               0.014122,                      0,                0.78497,                0.61446,                0.65718,                0.35465,                0.67656,                0.53765,                 0.4857,                0.15025,                0.04372,               0.019938,              0.0070654,                      0,               0.039832,              0.0064632,              0.0064632
                      2,               0.049706,               0.023749,               0.012515,                      0,                0.61903,                0.46586,                0.52011,                0.18406,                0.38738,                0.35341,                0.27397,               0.058329,               0.047727,               0.020403,              0.0073149,                      0,              0.0094325,              0.0093966,              0.0093966
                      3,               0.047165,               0.024365,                0.01194,                      0,                0.60609,                0.57831,                0.53265,                0.24207,                0.44922,                 0.4498,                0.29743,               0.074113,               0.042599,               0.022151,              0.0065325,                      0,                 0.0091,                 0.0091,                 0.0091
                      4,               0.043732,               0.024218,               0.011595,                      0,                0.58157,                0.56225,                0.55268,                0.28936,                0.47536,                0.46185,                0.36179,                0.10897,               0.044515,               0.020922,              0.0067434,                      0,                 0.0091,                 0.0091,                 0.0091
                      5,               0.041601,                0.02383,               0.011431,                      0,                0.65682,                0.64659,                0.60807,                0.31712,                0.51009,                0.54618,                0.39191,                0.10123,               0.039239,               0.020953,              0.0064792,                      0,                 0.0088,                 0.0088,                 0.0088
                      6,               0.039398,               0.023535,                0.01126,                      0,                0.74948,                0.63454,                0.66385,                 0.3671,                0.55871,                0.55422,                0.44256,                0.13247,               0.038153,                 0.0184,              0.0062673,                      0,                 0.0085,                 0.0085,                 0.0085
                      7,                0.03749,               0.022894,               0.010896,                      0,                0.61357,                0.63454,                 0.5739,                0.31965,                0.47567,                0.48996,                0.36384,               0.099582,               0.036081,               0.019298,              0.0065412,                      0,                 0.0082,                 0.0082,                 0.0082
                      8,               0.035304,               0.022962,                0.01058,                      0,                0.74151,                0.61847,                0.67955,                0.41773,                0.56814,                0.52306,                0.47732,                 0.1438,               0.034279,               0.018991,              0.0059354,                      0,                 0.0079,                 0.0079,                 0.0079
                      9,               0.034216,               0.022832,               0.010496,                      0,                0.79712,                0.71007,                0.69483,                0.40991,                0.63331,                0.56225,                0.47507,                0.13899,               0.034098,               0.019306,              0.0058027,                      0,                 0.0076,                 0.0076,                 0.0076
                     10,               0.032839,               0.022343,               0.010177,                      0,                0.67328,                0.71084,                0.66316,                0.43588,                0.56385,                0.59839,                0.48456,                0.14235,               0.030084,               0.019252,              0.0058263,                      0,                 0.0073,                 0.0073,                 0.0073
                     11,               0.031775,               0.022162,               0.010214,                      0,                0.80452,                0.71071,                0.71938,                0.44168,                0.65394,                0.57831,                0.49946,                0.15083,               0.031921,               0.019415,              0.0057101,                      0,                  0.007,                  0.007,                  0.007
                     12,               0.030602,                0.02151,              0.0099031,                      0,                0.79153,                0.70143,                0.71929,                0.48126,                0.71643,                 0.6088,                 0.5528,                0.16824,               0.028461,               0.018223,              0.0053743,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,               0.029681,               0.021691,              0.0097032,                      0,                0.79808,                0.71486,                0.72576,                0.49235,                0.68867,                0.59036,                0.54173,                0.15788,                0.02903,               0.018727,              0.0052016,                      0,                 0.0064,                 0.0064,                 0.0064
                     14,               0.028566,                0.02124,              0.0094451,                      0,                 0.8069,                0.74297,                0.73296,                0.46138,                0.68421,                0.63052,                0.55544,                0.17231,               0.028735,               0.018686,              0.0052427,                      0,                 0.0061,                 0.0061,                 0.0061
                     15,               0.028201,               0.021931,              0.0093085,                      0,                0.76609,                0.72289,                0.74704,                  0.495,                0.66808,                0.59036,                0.54909,                0.16953,               0.027482,               0.018168,              0.0054953,                      0,                 0.0058,                 0.0058,                 0.0058
                     16,               0.027311,               0.021234,              0.0094296,                      0,                 0.7424,                0.70683,                0.74456,                0.52217,                 0.6747,                0.61044,                0.58414,                0.19306,               0.026858,               0.018695,              0.0052124,                      0,                 0.0055,                 0.0055,                 0.0055
                     17,                0.02657,               0.021625,              0.0091782,                      0,                0.82403,                0.71464,                0.76764,                0.49669,                0.71266,                0.61757,                0.58087,                0.18309,               0.026577,               0.018403,              0.0049281,                      0,                 0.0052,                 0.0052,                 0.0052
                     18,               0.025777,               0.021361,              0.0090478,                      0,                0.79027,                0.73896,                0.75955,                0.52479,                0.69149,                0.64659,                0.59153,                0.18794,               0.025415,               0.018714,               0.005153,                      0,                 0.0049,                 0.0049,                 0.0049
                     19,               0.025145,               0.020665,              0.0091493,                      0,                0.77944,                0.73494,                0.74956,                 0.5234,                0.67853,                0.63855,                0.56677,                0.18321,               0.024859,               0.018674,               0.004947,                      0,                 0.0046,                 0.0046,                 0.0046
                     20,               0.024715,               0.020891,              0.0089508,                      0,                0.82544,                0.74699,                0.77443,                0.54469,                0.70611,                0.63855,                0.59213,                0.18901,               0.024097,               0.018361,              0.0048069,                      0,                 0.0043,                 0.0043,                 0.0043
                     21,               0.023758,               0.020834,              0.0089623,                      0,                 0.8118,                0.74699,                0.77811,                 0.5471,                0.78997,                0.63442,                0.62885,                0.19895,               0.024177,               0.017791,              0.0047391,                      0,                  0.004,                  0.004,                  0.004
                     22,               0.023405,                0.02074,              0.0088714,                      0,                0.84374,                0.71559,                0.77278,                0.56316,                 0.7443,                0.63125,                0.61705,                0.20414,               0.022975,               0.017825,              0.0045622,                      0,                 0.0037,                 0.0037,                 0.0037
                     23,               0.022715,                0.02078,               0.008574,                      0,                0.83447,                0.76932,                0.78481,                 0.5578,                0.72363,                0.64257,                0.61402,                0.19515,               0.023335,               0.018315,              0.0045656,                      0,                 0.0034,                 0.0034,                 0.0034
                     24,               0.022693,               0.020837,              0.0086205,                      0,                0.81028,                0.77185,                0.78068,                0.56034,                0.72416,                0.66265,                 0.6036,                0.19934,               0.021638,               0.018175,              0.0045683,                      0,                 0.0031,                 0.0031,                 0.0031
                     25,               0.021855,               0.020468,              0.0083151,                      0,                0.82938,                0.73494,                0.77782,                0.57932,                0.75063,                0.65279,                0.62509,                0.19867,               0.021341,               0.017916,              0.0045667,                      0,                 0.0028,                 0.0028,                 0.0028
                     26,               0.021082,               0.020398,              0.0084116,                      0,                0.84304,                0.75494,                0.79024,                0.58699,                0.75301,                 0.6367,                0.61433,                0.20617,               0.021336,                0.01798,              0.0044852,                      0,                 0.0025,                 0.0025,                 0.0025
                     27,               0.020569,               0.020245,              0.0083361,                      0,                 0.8309,                0.74986,                0.80145,                0.59364,                0.73403,                0.65392,                 0.6275,                0.20625,               0.021637,               0.017742,              0.0045161,                      0,                 0.0022,                 0.0022,                 0.0022
                     28,               0.019977,               0.020221,              0.0083266,                      0,                0.82396,                0.74297,                0.81051,                0.62478,                0.73627,                0.63454,                 0.6457,                0.22208,               0.020321,               0.018026,              0.0043923,                      0,                 0.0019,                 0.0019,                 0.0019
                     29,               0.019673,               0.020385,              0.0079573,                      0,                0.81601,                  0.751,                 0.7891,                0.59494,                0.72622,                0.66667,                0.63974,                0.21649,               0.021092,               0.017554,              0.0045301,                      0,                 0.0016,                 0.0016,                 0.0016
                     31,                0.83157,                0.73362,                 0.8105,                 0.6247,                0.73614,                0.63454,                0.64524,                0.22188,               0.020321,               0.018026,              0.0043926,                      0
